,setting,clusterCoef,lambda,mu,sigma,a,b,c
229,30000_5_0.4,0.1376506257076617,0.23,-0.01,0.01,1.0701649398508737,0.5016320632987061,0.6317772109906107
230,30000_5_0.5,0.17233017692185895,0.25,0.6,0.67,0.9305002713328387,0.5661942544673273,0.5727182332279681
231,30000_5_0.6000000000000001,0.21008890376812525,0.22,0.97,0.83,0.8376516506693042,0.6560025867248971,0.5114111226536826
232,30000_5_0.7000000000000001,0.2495738421447949,0.22,1.44,1.05,0.7310995759332586,0.7141283732834098,0.45624283268314136
233,30000_5_0.8,0.29290901001812,0.2,1.9,1.25,0.6428488347634318,0.7819414522098532,0.3993205999045449
234,30000_6_0.0,0.003089074968822618,0.17,-0.01,0.0,0.08447371719085936,0.0647448312079849,0.8045477527720497
235,30000_6_0.1,0.030638799291795204,0.3,-0.01,0.0,1.0542474361063383,0.13487389475364445,0.8323257218816559
236,30000_6_0.2,0.058973650789212385,0.27,-0.0,0.0,1.2209493379557896,0.2904123305369222,0.7539381952785361
237,30000_6_0.30000000000000004,0.08946437791548648,0.19,-0.01,0.0,1.103973323793036,0.4168956974093829,0.673144802221783
238,30000_6_0.4,0.11832298579628506,0.18,-0.01,0.0,1.0221960864080593,0.5181347350592531,0.612339499777411
239,30000_6_0.5,0.14763330222367646,0.22,0.66,0.71,0.9056140861816296,0.5846573337080401,0.5568828741049708
240,30000_6_0.6000000000000001,0.176999503432483,0.21,1.18,0.94,0.7749219962755414,0.620746009626514,0.5049684481286761
241,30000_6_0.7000000000000001,0.210496873582371,0.2,1.7,1.18,0.6850494435469454,0.6812330840044292,0.4495076310506739
242,30000_6_0.8,0.24791510475333753,0.17,2.2,1.4,0.5950602993541719,0.7233099659090316,0.3980901296200752
243,30000_7_0.0,0.0035458978572521023,0.12,-0.01,0.0,0.04535128189514666,0.07544261963915397,0.7749474603886001
244,30000_7_0.1,0.027325769787786905,0.25,-0.01,0.0,0.9102010565247474,0.14205749499635217,0.8110773886551371
245,30000_7_0.2,0.05250859565575925,0.23,-0.01,0.0,1.2208380923231676,0.3213228756960454,0.7368588809382602
246,30000_7_0.30000000000000004,0.0781382331644456,0.19,-0.01,0.0,1.0876284647421612,0.4311075753819122,0.6632254976611969
247,30000_7_0.4,0.1039572838230412,0.16,-0.01,0.01,0.9461597626848082,0.5066241534683977,0.5996946486769985
248,30000_7_0.5,0.12822120398447134,0.18,0.66,0.68,0.836318551570862,0.5606989864303714,0.547891042712076
249,30000_7_0.6000000000000001,0.15453439811972156,0.17,1.16,0.91,0.7416966915292408,0.6128367783279706,0.4959201767058704
250,30000_7_0.7000000000000001,0.1818166468820518,0.17,1.75,1.21,0.6454071562435565,0.6498955154515046,0.4461448444899569
